id;last_scraped;name;host_id;host_url;host_name;host_since;host_location;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_total_listings_count;host_verifications;host_has_profile_pic;host_identity_verified;neighbourhood;neighbourhood_cleansed;neighbourhood_group_cleansed;latitude;longitude;property_type;room_type;accommodates;bathrooms;bathrooms_text;bedrooms;beds;amenities;price;minimum_nights;maximum_nights;minimum_minimum_nights;maximum_minimum_nights;minimum_maximum_nights;maximum_maximum_nights;minimum_nights_avg_ntm;maximum_nights_avg_ntm;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;calendar_last_scraped;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;license;instant_bookable;calculated_host_listings_count;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms;reviews_per_month
73282;30.12.2024;Clean, central, quiet;377532;https://www.airbnb.com/users/show/377532;Simona;04.02.2011;Zurich, Switzerland;N/A;N/A;N/A;f;1;1;['email', 'phone'];t;t;;Sihlfeld;Kreis 3;47.37;8.52;Entire rental unit;Entire home/apt;4;;1 bath;1;;"[""Wifi"", ""Elevator"", ""Washer"", ""Dryer"", ""Heating"", ""Kitchen"", ""Essentials"", ""TV with standard cable"", ""Hot tub"", ""Lake access""]";;1125;1125;1125;1125;1125;1125;1125;1125;;t;23;53;83;358;30.12.2024;47;0;0;19.05.2012;27.04.2019;4.78;4.87;4.8;4.84;4.93;4.71;4.61;;f;1;1;0;0;0.31
143821;30.12.2024;LOFT on 2 floors in Sihlcity Zürich;697307;https://www.airbnb.com/users/show/697307;Erhan;13.06.2011;Zürich, Switzerland;N/A;N/A;0%;f;1;1;['email', 'phone'];t;t;;Alt-Wiedikon;Kreis 3;47.36;8.52;Entire loft;Entire home/apt;2;1.5;1.5 baths;1;2;"[""Wifi"", ""Dishes and silverware"", ""Park view"", ""Free washer \u2013 In unit"", ""Dryer"", ""Hot water kettle"", ""Wine glasses"", ""Paid parking off premises"", ""Bathtub"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Baking sheet"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Microwave"", ""Dishwasher"", ""Body soap"", ""TV with standard cable"", ""Oven"", ""BBQ grill"", ""Conditioner"", ""Paid parking on premises"", ""ZUG stainless steel induction stove"", ""Books and reading material"", ""Elevator"", ""Shower gel"", ""Mountain view"", ""Shampoo"", ""Long term stays allowed"", ""Hot water"", ""Dining table"", ""Host greets you"", ""Freezer"", ""Private patio or balcony"", ""Central heating"", ""Portable fans"", ""Smoke alarm"", ""Cooking basics""]";$239.00;3;365;3;3;365;365;3;365;;t;29;59;89;269;30.12.2024;0;0;0;;;;;;;;;;;f;1;1;0;0;
178448;30.12.2024;a lovely place, top location;854016;https://www.airbnb.com/users/show/854016;Delphine;22.07.2011;Zurich, Switzerland;within a day;100%;N/A;f;1;1;['email', 'phone'];t;f;Zurich, Switzerland;Enge;Kreis 2;47.37;8.53;Private room in rental unit;Private room;1;1;1 bath;1;1;"[""Wifi"", ""Elevator"", ""Dryer"", ""Washer"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Lock on bedroom door"", ""Lake access""]";$60.00;5;31;5;5;31;31;5;31;;t;0;0;0;4;30.12.2024;9;0;0;30.08.2011;10.05.2016;4.89;4.89;4.89;4.89;4.89;5;4.89;;f;1;0;1;0;0.06
227039;30.12.2024;*Luxury Penthouse in the heart of trendy Zurich*;1184427;https://www.airbnb.com/users/show/1184427;Lucas;20.09.2011;Zurich, Switzerland;within a few hours;100%;0%;f;2;2;['email', 'phone', 'work_email'];t;t;Zurich, Canton of Zurich, Switzerland;Escher Wyss;Kreis 5;47.39;8.52;Entire loft;Entire home/apt;3;1.5;1.5 baths;2;1;"[""Park view"", ""Free washer \u2013 In unit"", ""Wine glasses"", ""Private outdoor kitchen"", ""Essentials"", ""Bora induction stove"", ""Outdoor furniture"", ""Private entrance"", ""Bed linens"", ""Outdoor shower"", ""Carbon monoxide alarm"", ""Elevator"", ""Dedicated workspace"", ""Miele refrigerator"", ""Free dryer \u2013 In unit"", ""Fast wifi \u2013 409 Mbps"", ""Board games"", ""Laundromat nearby"", ""Miele stainless steel single oven"", ""Coffee"", ""Smoke alarm"", ""Dishes and silverware"", ""Mini fridge"", ""Hair dryer"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Sonos Bluetooth sound system"", ""Clothing storage: closet and dresser"", ""Hangers"", ""Body soap"", ""Lockbox"", ""Shared beach access"", ""Free parking garage on premises \u2013 1 space"", ""Barbecue utensils"", ""Garden view"", ""Room-darkening shades"", ""First aid kit"", ""Exercise equipment: free weights, yoga mat"", ""Freezer"", ""Private patio or balcony"", ""Pets allowed"", ""Cooking basics"", ""Private BBQ grill: electric, gas"", ""Bidet"", ""Iron"", ""Fireplace guards"", ""Kitchen"", ""Baking sheet"", ""Rice maker"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Waterfront"", ""Shower gel"", ""Mountain view"", ""Breakfast"", ""Shampoo"", ""Shared gym nearby"", ""Ethernet connection"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Courtyard view"", ""Indoor fireplace: wood-burning"", ""Hot water kettle"", ""Shared indoor pool - available all year, open specific hours, heated"", ""EV charger"", ""Sun loungers"", ""Paid parking garage on premises \u2013 25 spaces"", ""55 inch HDTV with Apple TV, Chromecast, Netflix, standard cable"", ""Cleaning products"", ""Microwave"", ""Paid street parking off premises"", ""Fire extinguisher"", ""Books and reading material"", ""Blender"", ""Self check-in"", ""Coffee maker: espresso machine, Nespresso, pour-over coffee"", ""Hot water"", ""Toaster"", ""Central heating"", ""Portable fans"", ""Cleaning available during stay"", ""Private hot tub - available all year, open 24 hours"", ""Free street parking"", ""City skyline view""]";$500.00;4;10;6;6;10;10;6;10;;t;0;0;0;18;30.12.2024;31;0;0;04.11.2011;22.08.2023;4.97;5;4.94;4.97;4.94;4.94;4.84;;f;1;1;0;0;0.19
251204;30.12.2024;Lovely apartment in the middle of trendy Wipkingen;1224284;https://www.airbnb.com/users/show/1224284;Urban;29.09.2011;Zürich, Switzerland;N/A;N/A;N/A;f;1;4;['email', 'phone'];t;t;Zurich, Switzerland;Wipkingen;Kreis 10;47.39;8.53;Entire rental unit;Entire home/apt;2;;1 bath;1;;"[""Wifi"", ""Courtyard view"", ""Dishes and silverware"", ""Dryer"", ""Bathtub"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Iron"", ""Clothing storage: walk-in closet"", ""Kitchen"", ""Baking sheet"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Dishwasher"", ""Electric stove"", ""Window AC unit"", ""Body soap"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Oven"", ""Washer"", ""Dedicated workspace"", ""Blender"", ""Shampoo"", ""Hot water"", ""Dining table"", ""Host greets you"", ""Heating"", ""Freezer"", ""Private patio or balcony"", ""Cooking basics"", ""TV""]";;5;30;5;5;30;30;5;30;;t;0;0;0;0;30.12.2024;1;0;0;03.10.2022;03.10.2022;5;5;5;5;5;5;5;;f;1;1;0;0;0.04
292351;30.12.2024;120 sqM - 3 bedrooms + lounge in central Zurich;1513739;https://www.airbnb.com/users/show/1513739;Anil;17.12.2011;Zurich, Switzerland;N/A;N/A;100%;f;1;1;['email', 'phone'];t;t;Zürich, Switzerland;Hard;Kreis 4;47.38;8.51;Entire condo;Entire home/apt;8;;2.5 baths;3;;"[""Wifi"", ""Dishes and silverware"", ""Dryer"", ""Gym nearby"", ""Single level home"", ""Paid parking off premises"", ""Bathtub"", ""Hair dryer"", ""Patio or balcony"", ""Children\u2019s books and toys"", ""Essentials"", ""Refrigerator"", ""Private entrance"", ""Kitchen"", ""Keypad"", ""Microwave"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Oven"", ""Fire extinguisher"", ""Elevator"", ""Washer"", ""Self check-in"", ""Free parking on premises"", ""Hot water"", ""Room-darkening shades"", ""Extra pillows and blankets"", ""Heating"", ""Smoke alarm"", ""Cooking basics""]";;5;1125;5;5;1125;1125;5;1125;;t;0;0;0;0;30.12.2024;11;1;0;04.01.2018;11.08.2024;4.64;4.73;4.64;4.73;5;4.82;4.27;;t;1;1;0;0;0.13
310964;30.12.2024;Large Apartment - Center of Zurich;1266114;https://www.airbnb.com/users/show/1266114;Kim;09.10.2011;Zurich, Switzerland;N/A;N/A;N/A;f;1;1;['email', 'phone'];t;t;Zurich, Switzerland;Hochschulen;Kreis 1;47.37;8.55;Entire rental unit;Entire home/apt;6;2;2 baths;3;2;"[""Wifi"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Elevator"", ""Washer"", ""Dryer"", ""Extra pillows and blankets"", ""Heating"", ""Kitchen"", ""Paid parking off premises"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Children\u2019s books and toys"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Lake access""]";$360.00;7;14;7;7;14;14;7;14;;t;0;0;0;0;30.12.2024;13;0;0;25.07.2012;06.01.2019;4.92;4.92;4.77;5;4.92;4.85;4.85;;f;1;1;0;0;0.09
577683;30.12.2024;Garden Apartment in Zurich West with private Gym;1240329;https://www.airbnb.com/users/show/1240329;Claudio;03.10.2011;Zürich, Switzerland;within a few hours;100%;N/A;;2;2;['email', 'phone', 'work_email'];t;t;Zurich, Canton of Zurich, Switzerland;Höngg;Kreis 10;47.4;8.5;Entire rental unit;Entire home/apt;4;1.5;1.5 baths;1;3;"[""Dishes and silverware"", ""Private gym in building"", ""Clothing storage: closet and wardrobe"", ""Free dryer \u2013 In building"", ""Single level home"", ""Hot water kettle"", ""Wine glasses"", ""Bathtub"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Sonos sound system"", ""V ZUg induction stove"", ""Essentials"", ""Refrigerator"", ""Fast wifi \u2013 375 Mbps"", ""Iron"", ""Sun loungers"", ""Drying rack for clothing"", ""Coffee maker: Nespresso"", ""Outdoor dining area"", ""Outdoor furniture"", ""Kitchen"", ""Baking sheet"", ""Theme room"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Microwave"", ""Dishwasher"", ""Rice maker"", ""Body soap"", ""V-Zug stainless steel oven"", ""Beach essentials"", ""Luggage dropoff allowed"", ""Exercise equipment: elliptical, free weights, yoga mat, workout bench"", ""Conditioner"", ""Elevator"", ""Books and reading material"", ""Hammock"", ""Dedicated workspace"", ""Shower gel"", ""Blender"", ""Private backyard \u2013 Not fully fenced"", ""Breakfast"", ""Shampoo"", ""55 inch HDTV with Apple TV, Disney+, Netflix"", ""Long term stays allowed"", ""Barbecue utensils"", ""Board games"", ""Ethernet connection"", ""Hot water"", ""Dining table"", ""Garden view"", ""Room-darkening shades"", ""Free parking on premises \u2013 1 space"", ""Paid parking garage off premises"", ""Host greets you"", ""Toaster"", ""Outdoor playground"", ""Extra pillows and blankets"", ""Bikes"", ""Freezer"", ""Private patio or balcony"", ""Central heating"", ""Portable fans"", ""Coffee"", ""Pets allowed"", ""Cleaning available during stay"", ""Game console: PS4"", ""BBQ grill: electric"", ""Cooking basics"", ""Free street parking"", ""Fire pit""]";$250.00;10;30;10;10;30;30;10;30;;t;0;0;0;243;30.12.2024;7;0;0;25.11.2012;03.07.2021;5;5;5;5;4.86;5;4.86;;f;1;1;0;0;0.05
606954;30.12.2024;Big and quiet bedroom in green area!;2659673;https://www.airbnb.com/users/show/2659673;Esther;17.06.2012;Zürich, Switzerland;N/A;N/A;N/A;f;1;1;['email', 'phone'];t;t;Zurich, Switzerland;Sihlfeld;Kreis 3;47.37;8.5;Private room in rental unit;Private room;1;;1 shared bath;;;"[""Wifi"", ""Dishes and silverware"", ""Dryer"", ""Pool"", ""Paid parking off premises"", ""Hair dryer"", ""Patio or balcony"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Iron"", ""Kitchen"", ""Baking sheet"", ""Hangers"", ""Bed linens"", ""Oven"", ""Coffee maker"", ""Washer"", ""Shower gel"", ""Shampoo"", ""Long term stays allowed"", ""Hot water"", ""Host greets you"", ""Extra pillows and blankets"", ""Heating"", ""Cooking basics""]";;2;14;2;2;14;14;2;14;;t;0;0;0;0;30.12.2024;3;0;0;05.08.2014;10.03.2020;5;5;4.33;5;4.67;4.67;4.67;;f;1;0;1;0;0.02
610348;30.12.2024;Duplex  Flat, 120 m2 7-8  persons;3026473;https://www.airbnb.com/users/show/3026473;Leandra;23.07.2012;Rekingen, Switzerland;within a few hours;100%;100%;t;3;3;['email', 'phone'];t;t;Zurich, Canton of Zurich, Switzerland;Oerlikon;Kreis 11;47.41;8.55;Entire rental unit;Entire home/apt;7;2;2 baths;4;5;"[""Wifi"", ""Dishes and silverware"", ""Dryer"", ""Indoor fireplace: wood-burning"", ""Hot water kettle"", ""Wine glasses"", ""EV charger"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Children\u2019s books and toys"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Iron"", ""High chair"", ""Outdoor dining area"", ""40 inch HDTV with standard cable"", ""Outdoor furniture"", ""Private entrance"", ""Kitchen"", ""Baking sheet"", ""Hangers"", ""Microwave"", ""Bed linens"", ""Dishwasher"", ""Body soap"", ""Luggage dropoff allowed"", ""Oven"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Books and reading material"", ""Crib"", ""Dedicated workspace"", ""Shower gel"", ""Lockbox"", ""Shampoo"", ""Long term stays allowed"", ""Self check-in"", ""Clothing storage: wardrobe"", ""Free parking on premises"", ""Hot water"", ""Garden view"", ""Room-darkening shades"", ""Toaster"", ""Extra pillows and blankets"", ""Heating"", ""Freezer"", ""Private patio or balcony"", ""Pets allowed"", ""Portable fans"", ""Smoke alarm"", ""Cooking basics"", ""Baby safety gates""]";$272.00;5;1125;5;5;1125;1125;5;1125;;t;25;55;78;297;30.12.2024;152;16;3;17.09.2012;18.12.2024;4.74;4.84;4.88;4.91;4.91;4.77;4.62;;f;2;2;0;0;1.02
